workload_type,dimension,topk,avg_index_time(ms),avg_search_time(ms)
base,8,100,265.272,13.003
base,16,100,329.347,20.611
base,32,100,456.545,33.080
base,64,100,699.123,54.619
base,128,100,1209.021,96.858
base,256,100,2234.378,182.762
base,512,100,4543.326,397.782
base,1024,100,10508.646,1045.131
base,2048,100,24357.299,2315.113
base,3072,100,38123.203,3598.424
base,4096,100,52299.886,4932.033
