vlen,elen,workload_type,dataset_type,distance_type,dimension,num_points,num_queries,top_k,SimSecond,SimTick,SimIns,SimOp,HstInsRate,HstOpRate,CPU_CPI,CPU_IPC,L1i_TotHits,L1i_TotMisses,L1i_TotMissRate,L1i_TotAvgMissLat,L1d_TotHits,L1d_TotMisses,L1d_TotMissRate,L1d_TotAvgMissLat,L1d_ReadReqHits,L1d_ReadReqMisses,L1d_ReadReqMissRate,L1d_ReadReqAvgMissLat,L1d_WriteReqHits,L1d_WriteReqMisses,L1d_WriteReqMissRate,L1d_WriteReqAvgMissLat,L2_TotHits,L2_TotMisses,L2_TotMissRate,L2_TotAvgMissLat
512,64,rv,random,euclidean,64,1000,100,20,0.143246,143246319377,280833451,280843768,92367,92370,0.612336,1.633091,83213712,2874,0.000035,53277.219207,93729718,9022663,0.087810,29950.457261,66928577,8101418,0.107976,29717.648638,26800901,921237,0.033231,31997.013456,7062280,35535,0.005006,82131.708231
512,64,rv,random,euclidean,128,1000,100,5,0.156733,156732549393,335254855,335273200,98827,98832,0.561228,1.781808,86846491,2619,0.000030,56773.132493,106748154,14050919,0.116316,30983.080092,78980992,13016421,0.141487,30934.896714,27766684,1034480,0.035918,31588.918989,9843789,41537,0.004202,79640.139490
512,64,rvv,random,euclidean,8,1000,100,5,0.120148,120148287287,220997660,221002503,103594,103596,0.652657,1.532199,70569591,2912,0.000041,55496.050481,76612458,3365405,0.042079,27658.861714,53401110,2568846,0.045897,25988.913131,23211348,796559,0.033179,33044.326867,1374950,33637,0.023880,82848.532806
512,64,rv,random,euclidean,3072,1000,100,50,1.193764,1193763531842,2635275919,2635616222,161778,161798,0.543810,1.838877,106780301,4043,0.000038,55373.175365,432590806,394136861,0.476743,46125.894104,403351292,390769100,0.492078,46182.218034,29227610,3367761,0.103320,39590.498267,105803825,103908252,0.495481,84865.061673
512,64,rvv,random,euclidean,128,1000,100,50,0.166522,166521669678,352921979,352940324,100177,100182,0.566431,1.765440,84007353,2798,0.000033,54812.471766,108691381,12994129,0.106785,29185.048195,80300937,11952567,0.129562,29000.495935,28389965,1041545,0.035389,31302.097814,9008583,41415,0.004576,78079.343306
512,64,rv,random,euclidean,2048,1000,100,100,0.848466,848465645433,1901627242,1901855493,144893,144910,0.535629,1.866965,104736424,3169,0.000030,58533.955822,340419515,261918939,0.434837,45122.485695,310159564,259152606,0.455203,45192.015211,30252015,2766333,0.083782,38608.897081,76513083,65308580,0.460498,84803.086040
512,64,rv,random,euclidean,16,1000,100,20,0.117424,117423553450,224339071,224343784,108747,108749,0.628355,1.591456,76222850,2630,0.000035,57458.312928,78286126,4112466,0.049909,28077.573918,54336934,3328916,0.057728,26967.761057,23949138,783542,0.031680,32792.526716,1884345,33708,0.017574,82673.754598
512,64,rv,random,euclidean,16,1000,100,5,0.116792,116791879554,223211840,223216553,112698,112700,0.628131,1.592024,75850029,2651,0.000035,56312.496794,77817844,4092391,0.049962,28057.039218,54002380,3310299,0.057759,26960.195446,23815409,782085,0.031795,32699.299860,1868431,33733,0.017734,82288.469540
512,64,rvv,random,euclidean,512,1000,100,5,0.248794,248793820149,672948491,673008950,101790,101799,0.443826,2.253135,81341038,2758,0.000034,59373.147208,163865776,47477082,0.224645,26234.788373,134800269,46049037,0.254627,26040.790170,29063523,1428045,0.046834,32490.494883,27183237,182447,0.006667,80565.703640
512,64,rv,random,euclidean,64,1000,100,100,0.149917,149916906741,292243647,292253964,97740,97743,0.615830,1.623826,86806159,2926,0.000034,53717.397129,98233708,9473334,0.087955,29948.678715,70319946,8513270,0.107991,29753.902525,27913520,960058,0.033250,31675.803085,7484908,34826,0.004631,82596.879774
512,64,rv,random,euclidean,1024,1000,100,5,0.417225,417225462199,1021340775,1021456982,147353,147370,0.490405,2.039130,93900477,3226,0.000034,58711.007130,218568959,113973857,0.342734,37610.490464,189600795,112080551,0.371520,37631.243512,28964196,1893306,0.061356,36381.944691,47248068,16736205,0.261567,83593.853323
512,64,rv,random,euclidean,1024,1000,100,100,0.446723,446722796044,1076603855,1076720062,125070,125084,0.498124,2.007534,98314912,2735,0.000028,61365.145521,230473600,120815108,0.343920,38777.758925,200152511,118837572,0.372543,38823.498637,30317121,1977536,0.061234,36029.087671,48238701,19655474,0.289502,83580.745286
512,64,rvv,random,euclidean,64,1000,100,5,0.146542,146542433737,284639234,284649551,100548,100551,0.618050,1.617992,79660795,3204,0.000040,51226.640137,93495615,7792343,0.076933,28682.126836,66840666,6883377,0.093367,28251.557691,26654708,908959,0.032977,31942.620230,5797087,34488,0.005914,81771.420784
512,64,rvv,random,euclidean,4096,1000,100,5,1.627155,1627154677680,3574261022,3574713281,164000,164021,0.546509,1.829795,105852459,5877,0.000056,53635.023141,382905916,650592470,0.629505,40863.253302,356028802,644971710,0.644327,40899.186649,26861579,5620423,0.173032,36740.858452,232048822,136090545,0.369671,79164.577876
512,64,rvv,random,euclidean,8,1000,100,10,0.120094,120093755775,221042030,221046873,104335,104337,0.652230,1.533202,70474515,2952,0.000042,54433.953930,76625306,3362942,0.042043,27647.632551,53400759,2572390,0.045958,25992.272190,23224547,790552,0.032919,33034.036531,1377705,33440,0.023697,82989.346531
