vlen,elen,workload_type,dataset_type,distance_type,dimension,num_points,num_queries,top_k,SimSecond,SimTick,SimIns,SimOp,HstInsRate,HstOpRate,CPU_CPI,CPU_IPC,L1i_TotHits,L1i_TotMisses,L1i_TotMissRate,L1i_TotAvgMissLat,L1d_TotHits,L1d_TotMisses,L1d_TotMissRate,L1d_TotAvgMissLat,L1d_ReadReqHits,L1d_ReadReqMisses,L1d_ReadReqMissRate,L1d_ReadReqAvgMissLat,L1d_WriteReqHits,L1d_WriteReqMisses,L1d_WriteReqMissRate,L1d_WriteReqAvgMissLat,L2_TotHits,L2_TotMisses,L2_TotMissRate,L2_TotAvgMissLat
1024,64,rv,random,euclidean,3072,1000,100,50,1.110069,1110068582385,1452745455,1452917640,22569,22572,0.917308,1.090146,106302997,7748,0.000073,47532.283041,374174603,278100234,0.426354,82160.259009,344326063,275431623,0.444418,82538.848744,29746588,2668545,0.082324,43085.633204,90027386,103243546,0.534191,107169.286635
1024,64,rvv,random,euclidean,128,1000,100,50,0.158334,158333986062,302468873,302479100,15153,15154,0.628418,1.591298,83554920,2737,0.000033,56843.652174,107465270,9886149,0.084244,33547.704502,78928891,8994393,0.102298,33676.076011,28532256,891565,0.030301,32247.458053,7960424,40914,0.005113,79715.141345
1024,64,rv,random,euclidean,2048,1000,100,100,0.771407,771407222803,1088967419,1089083552,20898,20900,0.850401,1.175916,105490295,3157,0.000030,59279.678492,305103201,178687868,0.369349,80437.362296,274381031,176443868,0.391380,80937.708742,30654201,2243935,0.068209,41095.925408,60767901,64954551,0.516650,106300.275774
1024,64,rv,random,euclidean,16,1000,100,5,0.111794,111793648813,223211604,223216087,15987,15987,0.601250,1.663201,73695075,2616,0.000035,57350.903670,78215569,2509449,0.031086,29266.637791,54166644,1960959,0.034938,27261.744693,24048877,548345,0.022293,36434.065727,1147287,33777,0.028599,82916.787696
1024,64,rvv,random,euclidean,512,1000,100,5,0.204554,204553891535,444128012,444160353,16961,16962,0.552910,1.808612,83907995,2690,0.000032,60996.037918,159877127,32562764,0.169210,42570.922631,130558830,31406881,0.193911,42881.332073,29301305,1155817,0.037949,34136.819881,23651422,180245,0.007563,84420.748282
1024,64,rv,random,euclidean,64,1000,100,100,0.142449,142449475742,270503460,270509659,15703,15703,0.632183,1.581820,86994008,2796,0.000032,53714.497496,98487814,6941679,0.065842,30868.985731,70428250,6129363,0.080062,30653.889765,28057532,812158,0.028132,32489.812227,6224988,35237,0.005629,81054.675824
1024,64,rv,random,euclidean,1024,1000,100,5,0.351577,351577037910,641652420,641712509,18997,18999,0.657772,1.520283,95400305,2627,0.000028,59918.606395,211857121,67483597,0.241582,65501.322402,182519544,65989786,0.265542,66107.816185,29303592,1493746,0.048502,38709.623952,31958859,16664798,0.342730,102124.895258
1024,64,rv,random,euclidean,1024,1000,100,100,0.380753,380752989526,675000931,675061020,18277,18278,0.677164,1.476747,100188234,2623,0.000026,62218.399161,222532532,72680674,0.246197,67583.571209,191797657,71147016,0.270578,68207.217874,30700891,1533592,0.047576,38652.784547,32906562,19575189,0.372990,102310.879736
1024,64,rvv,random,euclidean,64,1000,100,5,0.141702,141702171450,264229083,264235282,15161,15161,0.643800,1.553278,78240919,3237,0.000041,50849.284523,93334543,5469611,0.055358,30164.779256,66528936,4713270,0.066158,29702.846837,26803557,756201,0.027439,33039.289588,4799329,33976,0.007030,81805.352720
1024,64,rvv,random,euclidean,4096,1000,100,5,1.413018,1413018027449,1691327159,1691555300,23727,23730,1.002940,0.997068,99711927,14628,0.000147,44605.361909,442251795,368800997,0.454719,82174.373346,413029077,365645823,0.469574,82500.711880,29086782,3155108,0.097857,44356.018096,118968309,135529574,0.532537,107555.981563
