board.processor.cores.core.cpi,board.processor.cores.core.ipc,core_type,dataset_type,dimension,distance_type,elen,hostInstRate,hostOpRate,num_points,num_queries,simInsts,simOps,simSeconds,simTicks,top_k,vlen
0.619946,1.613045,rv,random,8,euclidean,64,102090,102093,1000,100,218253449,218258760,0.112709,112709284912,1,256
0.341045,2.932165,rvv,random,2048,euclidean,64,181419,181441,1000,100,3779842057,3780294552,1.073817,1073816858877,100,256
0.335810,2.977876,rvv,random,3072,euclidean,64,217114,217142,1000,100,5251421043,5252097590,1.468978,1468977904541,20,256
0.510599,1.958484,rvv,random,128,euclidean,64,104733,104741,1000,100,438556697,438589286,0.186531,186530887788,5,256
0.619811,1.613394,rv,random,8,euclidean,64,100044,100047,1000,100,218373255,218378566,0.112747,112746734093,10,256
0.631144,1.584424,rv,random,16,euclidean,64,101748,101751,1000,100,236579511,236586694,0.124380,124380077227,50,256
0.344729,2.900826,rv,random,3072,euclidean,64,183712,183738,1000,100,4841444670,4842121217,1.390267,1390267183928,10,256
0.338442,2.954719,rvv,random,2048,euclidean,64,177296,177318,1000,100,3698455802,3698908297,1.042676,1042675796953,50,256
0.349288,2.862965,rv,random,2048,euclidean,64,174560,174584,1000,100,3346415919,3346868414,0.973663,973663390462,10,256
0.348320,2.870923,rvv,random,4096,euclidean,64,234879,234908,1000,100,7259463875,7260364378,2.106338,2106337850211,100,256
0.412349,2.425131,rv,random,256,euclidean,64,109810,109820,1000,100,653743255,653804036,0.224552,224552029912,100,256
0.336862,2.968574,rvv,random,2048,euclidean,64,189038,189062,1000,100,3620377368,3620829863,1.015900,1015900067364,20,256
0.617292,1.619979,rvv,random,16,euclidean,64,103300,103303,1000,100,245413283,245420466,0.126193,126192547782,100,256
0.356321,2.806462,rv,random,4096,euclidean,64,206715,206744,1000,100,6404877868,6405778371,1.901064,1901063825178,1,256
0.583774,1.712992,rvv,random,32,euclidean,64,105819,105823,1000,100,270947708,270958227,0.131757,131757438435,10,256
0.561307,1.781557,rvv,random,64,euclidean,64,103672,103677,1000,100,330848855,330867416,0.154695,154694523263,20,256
0.345708,2.892617,rvv,random,4096,euclidean,64,233691,233722,1000,100,6948586364,6949486867,2.001016,2001016093272,20,256
0.335144,2.983796,rvv,random,2048,euclidean,64,176519,176541,1000,100,3586045686,3586498181,1.001133,1001132969900,5,256
0.335144,2.983790,rvv,random,2048,euclidean,64,177766,177788,1000,100,3585970246,3586422741,1.001114,1001113920856,1,256
0.349790,2.858859,rv,random,2048,euclidean,64,158047,158068,1000,100,3378340694,3378793189,0.984364,984363824409,20,256
0.349498,2.861246,rv,random,512,euclidean,64,121745,121759,1000,100,1030944163,1031060866,0.300141,300140775648,20,256
0.628617,1.590795,rv,random,16,euclidean,64,104915,104919,1000,100,231912227,231919410,0.121438,121437973706,10,256
0.350099,2.856331,rvv,random,1024,euclidean,64,132484,132499,1000,100,2006264944,2006493395,0.585093,585092772572,100,256
0.350783,2.850768,rv,random,512,euclidean,64,141418,141433,1000,100,1075465316,1075582019,0.314253,314253067639,100,256
0.561280,1.781641,rvv,random,64,euclidean,64,101114,101120,1000,100,336780534,336799095,0.157461,157460513924,50,256
0.335242,2.982920,rvv,random,3072,euclidean,64,207388,207415,1000,100,5196087402,5196763949,1.451041,1451041480315,1,256
0.345773,2.892071,rvv,random,1024,euclidean,64,129994,130009,1000,100,1900196821,1900425272,0.547311,547311495297,1,256
0.356752,2.803064,rv,random,4096,euclidean,64,213887,213917,1000,100,6469537422,6470437925,1.922584,1922583529685,20,256
0.584468,1.710958,rvv,random,32,euclidean,64,105896,105900,1000,100,277071703,277082222,0.134896,134895576844,50,256
0.620132,1.612560,rv,random,8,euclidean,64,107897,107900,1000,100,219325294,219330605,0.113297,113296861454,20,256
0.337122,2.966284,rvv,random,3072,euclidean,64,222815,222843,1000,100,5366996987,5367673534,1.507175,1507174574759,50,256
0.345049,2.898141,rvv,random,512,euclidean,64,125566,125579,1000,100,1140207090,1140323793,0.327725,327724725153,100,256
0.493882,2.024777,rv,random,128,euclidean,64,102259,102267,1000,100,422645082,422677671,0.173878,173877607792,10,256
0.634634,1.575711,rv,random,16,euclidean,64,98633,98636,1000,100,241870444,241877627,0.127865,127864863588,100,256
0.607099,1.647179,rv,random,32,euclidean,64,98453,98457,1000,100,278177137,278187656,0.140678,140677815523,100,256
0.410157,2.438089,rv,random,256,euclidean,64,114503,114514,1000,100,621194156,621254937,0.212238,212237856719,10,256
0.583799,1.712919,rvv,random,32,euclidean,64,101396,101400,1000,100,272547268,272557787,0.132541,132540947406,20,256
0.510563,1.958622,rvv,random,128,euclidean,64,108288,108296,1000,100,438601180,438633769,0.186537,186536679637,10,256
0.345815,2.891717,rvv,random,1024,euclidean,64,163153,163173,1000,100,1918436758,1918665209,0.552633,552632896718,20,256
0.356299,2.806630,rv,random,4096,euclidean,64,213852,213882,1000,100,6404997674,6405898177,1.900986,1900985557331,10,256
0.410151,2.438128,rv,random,256,euclidean,64,108779,108790,1000,100,621074236,621135017,0.212193,212193437827,1,256
0.424882,2.353596,rvv,random,256,euclidean,64,116958,116969,1000,100,651898152,651958933,0.230724,230724019295,1,256
0.587199,1.702999,rvv,random,32,euclidean,64,104028,104032,1000,100,283648428,283658947,0.138743,138742936451,100,256
0.561727,1.780224,rvv,random,64,euclidean,64,103897,103903,1000,100,328643130,328661691,0.153778,153778234092,10,256
0.619908,1.613143,rv,random,8,euclidean,64,103979,103982,1000,100,218328849,218334160,0.112741,112741322925,5,256
0.424431,2.356097,rvv,random,256,euclidean,64,115540,115550,1000,100,657467351,657528132,0.232448,232448136039,20,256
0.410508,2.436005,rv,random,256,euclidean,64,109455,109466,1000,100,638826513,638887294,0.218449,218448818840,50,256
0.424866,2.353681,rvv,random,256,euclidean,64,117737,117748,1000,100,651973545,652034326,0.230742,230742369452,5,256
0.555107,1.801454,rv,random,64,euclidean,64,112358,112365,1000,100,319962815,319981376,0.147952,147952147959,5,256
0.425549,2.349903,rvv,random,256,euclidean,64,119538,119549,1000,100,686373455,686434236,0.243307,243307486394,100,256
0.613615,1.629687,rvv,random,16,euclidean,64,102311,102314,1000,100,235242314,235249497,0.120242,120242027276,10,256
0.561866,1.779783,rvv,random,64,euclidean,64,105144,105150,1000,100,344922637,344941198,0.161436,161435721538,100,256
0.555106,1.801457,rv,random,64,euclidean,64,100927,100933,1000,100,319887416,319905977,0.147917,147917079492,1,256
0.344174,2.905507,rvv,random,512,euclidean,64,162016,162033,1000,100,1092899847,1093016550,0.313331,313331059923,20,256
0.654223,1.528531,rvv,random,8,euclidean,64,107584,107587,1000,100,229186772,229192083,0.124899,124899419407,100,256
0.510274,1.959731,rvv,random,128,euclidean,64,106383,106390,1000,100,441908854,441941443,0.187837,187837037619,20,256
0.350098,2.856340,rv,random,1024,euclidean,64,140887,140905,1000,100,1797645040,1797873491,0.524251,524250636665,20,256
0.603366,1.657369,rv,random,32,euclidean,64,105968,105972,1000,100,265818448,265828967,0.133601,133601402221,10,256
0.424422,2.356147,rvv,random,256,euclidean,64,111207,111217,1000,100,670710136,670770917,0.237125,237125119497,50,256
0.345318,2.895878,rv,random,3072,euclidean,64,192034,192061,1000,100,4892778151,4893454698,1.407409,1407409003623,20,256
0.344358,2.903957,rvv,random,512,euclidean,64,137581,137595,1000,100,1115212161,1115328864,0.319899,319898551042,50,256
0.615120,1.625699,rvv,random,16,euclidean,64,104518,104521,1000,100,240028529,240035712,0.122989,122989408717,50,256
0.345773,2.892075,rvv,random,1024,euclidean,64,178956,178977,1000,100,1900272221,1900500672,0.547333,547332626008,5,256
0.344387,2.903713,rvv,random,512,euclidean,64,129464,129478,1000,100,1082841330,1082958033,0.310639,310639132958,10,256
0.349729,2.859359,rv,random,3072,euclidean,64,210256,210284,1000,100,5112275907,5112952454,1.489329,1489328740949,100,256
0.409946,2.439343,rv,random,256,euclidean,64,114490,114501,1000,100,626317055,626377836,0.213878,213878096194,20,256
0.603336,1.657450,rv,random,32,euclidean,64,101919,101923,1000,100,265773996,265784515,0.133572,133572465467,5,256
0.336344,2.973149,rvv,random,2048,euclidean,64,189347,189371,1000,100,3586090098,3586542593,1.004730,1004730287897,10,256
0.349904,2.857924,rv,random,1024,euclidean,64,130539,130555,1000,100,1780762095,1780990546,0.519039,519039308697,10,256
0.349707,2.859538,rv,random,512,euclidean,64,124728,124742,1000,100,1021540570,1021657273,0.297581,297580706752,10,256
