workload_type,dimension,topk,avg_index_time(ms),avg_search_time(ms)
hifive,8,100,280.386,14.020
hifive,16,100,342.669,21.815
hifive,32,100,475.731,34.540
hifive,64,100,690.459,51.889
hifive,128,100,1173.421,90.468
hifive,256,100,2153.373,165.798
hifive,512,100,4173.677,312.689
hifive,1024,100,8070.848,629.675
hifive,2048,100,16071.335,1218.751
hifive,3072,100,23766.055,1825.521
hifive,4096,100,32453.045,2513.839
