dimension	avg_index_time(ms)_rv	avg_index_time(ms)_rvv	index_time_ratio	index_time_reduction_%	avg_search_time(ms)_rv	avg_search_time(ms)_rvv	search_time_ratio	search_time_reduction_%	source_file
2048	123836.404000	94492.445000	0.763043	23.695745	9552.273000	6487.497000	0.679157	32.084259	c920v3
3072	181351.196000	137241.084000	0.756770	24.323033	14170.563000	9551.002000	0.674003	32.599700	c920v3
4096	240733.860000	182140.593000	0.756606	24.339437	18910.856000	12696.237000	0.671373	32.862706	c920v3
8	4880.881000	4879.883000	0.999796	0.020447	284.683000	304.711000	1.070352	-7.035194	r908fdv
16	5902.203000	5748.387000	0.973939	2.606078	430.297000	419.260000	0.974350	2.564973	r908fdv
32	8558.796000	8037.891000	0.939138	6.086195	701.631000	663.135000	0.945134	5.486645	r908fdv
64	13190.398000	11729.439000	0.889241	11.075928	1102.823000	976.993000	0.885902	11.409809	r908fdv
128	21804.961000	18731.485000	0.859047	14.095306	1786.774000	1529.999000	0.856291	14.370872	r908fdv
256	39418.161000	32428.149000	0.822670	17.732973	3200.553000	2614.089000	0.816762	18.323833	r908fdv
512	77092.561000	62386.565000	0.809242	19.075765	6260.852000	5122.310000	0.818149	18.185097	r908fdv
1024	148157.835000	119223.788000	0.804708	19.529205	11983.093000	9661.188000	0.806235	19.376508	r908fdv
2048	291497.726000	232768.539000	0.798526	20.147391	23102.702000	18434.067000	0.797918	20.208177	r908fdv
3072	428083.919000	340678.603000	0.795822	20.417799	33717.248000	26721.210000	0.792509	20.749137	r908fdv
4096	568668.106000	450957.883000	0.793007	20.699283	44787.883000	35287.842000	0.787888	21.211186	r908fdv
