workload_type,dimension,topk,avg_index_time(ms),avg_search_time(ms)
rv,8,100,3645.792,210.730
rv,16,100,4012.979,267.681
rv,32,100,5473.417,398.422
rv,64,100,7394.063,575.687
rv,128,100,11067.562,852.059
rv,256,100,18410.766,1428.977
rv,512,100,33533.452,2587.038
rv,1024,100,63704.370,5091.960
rv,2048,100,124246.781,9606.785
rv,3072,100,181910.152,14242.665
rv,4096,100,241659.316,18991.290
rvv,8,100,3844.865,212.250
rvv,16,100,4238.689,273.161
rvv,32,100,5151.897,368.097
rvv,64,100,6399.133,479.435
rvv,128,100,9596.916,704.296
rvv,256,100,15032.064,1084.420
rvv,512,100,26443.237,1886.558
rvv,1024,100,49086.344,3606.309
rvv,2048,100,94491.068,6670.533
rvv,3072,100,137344.899,9833.365
rvv,4096,100,182588.103,13103.987
