vlen,elen,workload_type,dataset_type,distance_type,dimension,num_points,num_queries,top_k,SimSecond,SimTick,SimIns,SimOp,HstInsRate,HstOpRate,CPU_CPI,CPU_IPC,L1i_TotHits,L1i_TotMisses,L1i_TotMissRate,L1i_TotAvgMissLat,L1d_TotHits,L1d_TotMisses,L1d_TotMissRate,L1d_TotAvgMissLat,L1d_ReadReqHits,L1d_ReadReqMisses,L1d_ReadReqMissRate,L1d_ReadReqAvgMissLat,L1d_WriteReqHits,L1d_WriteReqMisses,L1d_WriteReqMissRate,L1d_WriteReqAvgMissLat,L2_TotHits,L2_TotMisses,L2_TotMissRate,L2_TotAvgMissLat
128,64,rv,random,euclidean,3072,1000,100,5,12.030556,12030556464255,22802851762,22802856803,371194,371194,0.633361,1.578878,113676510,8948,0.000079,54103.201051,5667618939,72963178,0.012710,51917.820276,5637720149,69676579,0.012208,52502.366737,29898790,3286599,0.099038,39525.314312,188001016,12464785,0.062179,83137.272179
128,64,rv,random,euclidean,32,1000,100,50,0.215533,215533138912,427929523,427934536,122221,122223,0.604640,1.653877,87520125,3306,0.000038,47609.502722,122569670,13576253,0.099718,24409.441112,96474770,12740713,0.116657,23923.338008,26094900,835540,0.031026,31821.773418,2669618,28930,0.010721,80673.949533
128,64,rv,random,euclidean,64,1000,100,50,0.335693,335692594230,661317702,661322757,144037,144038,0.609378,1.641018,91671146,4047,0.000044,42809.037064,185800834,10517245,0.053572,25010.398401,158413624,9593224,0.057100,24395.372758,27387210,924021,0.032638,31395.619907,6355556,30301,0.004745,79686.863239
128,64,rv,random,euclidean,128,1000,100,50,0.585805,585804907604,1145031841,1145036924,186791,186791,0.614173,1.628207,95186172,3292,0.000035,48677.615128,306844622,11354954,0.035685,25026.828652,278292475,10310037,0.035724,24429.649859,28552147,1044917,0.035305,30919.100912,9256206,37737,0.004060,75949.700586
128,64,rv,random,euclidean,8,1000,100,1,0.131150,131149570013,253071816,253078071,106873,106876,0.622126,1.607392,79585080,2953,0.000037,52785.627497,83338513,6227144,0.069526,26371.569784,60081118,5407264,0.082568,25487.678180,23257395,819880,0.034052,32201.002449,1399106,29536,0.020674,81479.025257
128,64,rv,random,euclidean,8,1000,100,10,0.131188,131187919667,253203322,253209577,104840,104842,0.621984,1.607758,79613240,2972,0.000037,52905.029610,83398168,6228274,0.069491,26369.613209,60116161,5407906,0.082533,25486.826748,23282007,820368,0.034037,32188.984754,1399132,29716,0.020797,81029.164087
128,64,rv,random,euclidean,16,1000,100,50,0.158385,158384724925,307835928,307842053,110100,110102,0.617659,1.619016,83301714,3072,0.000037,50913.871094,95667964,9722523,0.092252,25575.089591,71232631,8916220,0.111246,24978.919299,24435333,806303,0.031943,32167.630452,1868035,29240,0.015412,81639.598119
128,64,rv,random,euclidean,3072,1000,100,10,12.030461,12030461461438,22802902701,22802907742,367953,367953,0.633355,1.578894,113685388,8972,0.000079,51909.863798,5667641676,72972576,0.012712,51894.590251,5637733446,69684715,0.012209,52481.286901,29908230,3287861,0.099044,39459.822216,188003245,12464105,0.062175,83080.583764
128,64,rv,random,euclidean,2048,1000,100,10,8.143560,8143560487314,15440827733,15440832722,334086,334087,0.633139,1.579433,109094288,8747,0.000080,52536.710987,3853016071,45084167,0.011566,52642.131389,3823194371,42447035,0.010981,53512.698200,29821700,2637132,0.081245,38629.567785,124657835,8004785,0.060339,82525.569206
128,64,rv,random,euclidean,256,1000,100,100,1.126086,1126085708804,2177165866,2177171141,232395,232396,0.620919,1.610516,100952594,4172,0.000041,43696.560403,565971504,13284086,0.022933,25026.979279,535861599,12034409,0.021965,24395.305559,30109905,1249677,0.039850,31110.007060,15220128,53176,0.003482,73045.220946
128,64,rv,random,euclidean,4096,1000,100,1,16.113319,16113319094033,30495889990,30495894987,384059,384059,0.634306,1.576527,122652607,8740,0.000071,52344.519108,7447473378,221517128,0.028885,34904.182388,7418958446,215914149,0.028280,34866.793964,28514932,5602979,0.164224,36344.967656,358771836,16401256,0.043717,83058.459002
128,64,rv,random,euclidean,16,1000,100,10,0.154474,154473955692,300658761,300664886,101120,101122,0.616789,1.621301,81802185,3057,0.000037,51090.939156,93317470,9359431,0.091154,25615.994124,69409049,8572142,0.109926,25000.840287,23908421,787289,0.031880,32313.897998,1805089,29251,0.015946,81598.388568
128,64,rv,random,euclidean,512,1000,100,100,2.206036,2206036214907,4231989426,4231994623,465953,465954,0.625782,1.598001,106181167,5540,0.000052,38779.608303,1076911703,17697807,0.016168,24826.099885,1046144769,16212000,0.015260,24149.548576,30766934,1485807,0.046068,32208.115067,29256403,140657,0.004785,70094.168410
128,64,rv,random,euclidean,128,1000,100,10,0.567029,567028974316,1109219770,1109224853,167491,167492,0.613681,1.629511,93406350,3289,0.000035,48640.716327,297210302,10966363,0.035585,25068.672749,269283907,9950661,0.035635,24456.775529,27926395,1015702,0.035094,31063.326494,8839456,37745,0.004252,75950.442045
128,64,rv,random,euclidean,16,1000,100,100,0.162640,162639582301,315132093,315138218,110726,110728,0.619567,1.614029,85237405,3093,0.000036,51113.020045,98191150,10064324,0.092968,25560.036143,73130777,9244933,0.112229,24980.315505,25060373,819391,0.031661,32100.843224,1926174,29352,0.015010,81872.716067
128,64,rv,random,euclidean,32,1000,100,100,0.221620,221620441350,438729994,438735007,125210,125211,0.606412,1.649045,89634964,3326,0.000037,47381.570956,125886752,14069464,0.100528,24389.097028,99107366,13213294,0.117639,23918.327894,26779386,856170,0.030981,31654.489388,2754003,29037,0.010434,80519.187209
128,64,rv,random,euclidean,256,1000,100,10,1.062040,1062040200592,2060215433,2060220708,220781,220781,0.618847,1.615908,96157687,3386,0.000035,49161.268754,534946292,12435975,0.022719,25113.318074,506238253,11245678,0.021731,24446.257125,28708039,1190297,0.039811,31415.570907,14035415,53055,0.003766,73200.996287
128,64,rv,random,euclidean,4096,1000,100,10,16.113460,16113459936007,30496021473,30496026470,387252,387252,0.634309,1.576520,122653275,8500,0.000069,52410.008000,7447509356,221544647,0.028888,34909.595010,7418971620,215939375,0.028283,34873.135973,28537736,5605272,0.164170,36314.155162,358776978,16398753,0.043710,83082.408995
128,64,rv,random,euclidean,256,1000,100,1,1.062006,1062005818517,2060083829,2060089104,226809,226810,0.618867,1.615857,96154395,3399,0.000035,49909.419241,534883325,12429840,0.022711,25104.156915,506201981,11237957,0.021718,24445.388476,28681344,1191883,0.039898,31315.514404,14034826,52438,0.003722,73417.290762
128,64,rv,random,euclidean,8,1000,100,5,0.131179,131178687528,253152416,253158671,102522,102525,0.622066,1.607547,79605247,2957,0.000037,52739.294893,83371978,6227370,0.069502,26371.267232,60100180,5407493,0.082547,25487.326522,23271798,819877,0.034032,32201.291980,1399170,29550,0.020683,81452.769374
128,64,rv,random,euclidean,256,1000,100,50,1.097232,1097231552585,2127351134,2127356409,215601,215602,0.619176,1.615050,97983311,3383,0.000035,49085.195980,552417618,12880031,0.022785,25072.896300,523070258,11659731,0.021805,24422.698767,29347360,1220300,0.039921,31285.408251,14719389,53082,0.003593,73247.105968
128,64,rv,random,euclidean,64,1000,100,5,0.325289,325289452152,641314853,641319908,142531,142532,0.608911,1.642277,89981856,4003,0.000044,43472.278541,180129508,10174882,0.053466,25066.402418,153360565,9274665,0.057027,24421.186848,26768943,900217,0.032535,31713.864379,6078319,30692,0.005024,80657.443927
128,64,rv,random,euclidean,64,1000,100,1,0.325256,325256180466,641234261,641239316,143787,143788,0.608925,1.642238,89962994,4000,0.000044,43493.220750,180095622,10172238,0.053463,25065.130141,153341751,9271348,0.057015,24419.658105,26753871,900890,0.032576,31707.889934,6078034,30693,0.005024,80625.749324
128,64,rv,random,euclidean,32,1000,100,10,0.209409,209408584714,416226630,416231643,122574,122576,0.603976,1.655695,85908029,3297,0.000038,48059.072187,119323548,12982343,0.098124,24470.025519,93801149,12173430,0.114871,23968.245501,25522399,808913,0.030721,32021.373970,2566713,28950,0.011153,80682.179413
128,64,rv,random,euclidean,3072,1000,100,100,12.717982,12717982358032,24091535966,24091541007,372015,372015,0.633737,1.577943,119013119,8603,0.000072,53223.790887,5988289124,77602914,0.012793,53231.843516,5957010105,74178161,0.012299,53871.432526,31279019,3424753,0.098685,39378.717030,197367376,13769949,0.065218,83258.321322
128,64,rv,random,euclidean,32,1000,100,5,0.209389,209388830952,416175714,416180727,124919,124920,0.603993,1.655649,85898609,3286,0.000038,49343.969264,119300885,12976149,0.098098,24475.339145,93787731,12168692,0.114846,23967.301747,25513154,807457,0.030678,32131.660926,2568367,29337,0.011293,80795.558851
128,64,rv,random,euclidean,2048,1000,100,50,8.407589,8407588737919,15935781110,15935786099,340180,340181,0.633364,1.578872,111192299,8781,0.000079,52563.144289,3976354523,46827209,0.011639,53492.398138,3945904224,44136900,0.011062,54406.650579,30450299,2690309,0.081179,38493.277748,128293937,8528531,0.062333,82632.188284
128,64,rv,random,euclidean,256,1000,100,5,1.062047,1062047455189,2060164532,2060169807,200579,200579,0.618867,1.615857,96173974,3398,0.000035,49843.209535,534918404,12433696,0.022716,25105.192567,506222796,11241668,0.021725,24446.686936,28695608,1192028,0.039884,31315.366899,14035564,52433,0.003722,73404.496996
