vlen,elen,workload_type,dataset_type,distance_type,dimension,num_points,num_queries,top_k,SimSecond,SimTick,SimIns,SimOp,HstInsRate,HstOpRate,CPU_CPI,CPU_IPC,L1i_TotHits,L1i_TotMisses,L1i_TotMissRate,L1i_TotAvgMissLat,L1d_TotHits,L1d_TotMisses,L1d_TotMissRate,L1d_TotAvgMissLat,L1d_ReadReqHits,L1d_ReadReqMisses,L1d_ReadReqMissRate,L1d_ReadReqAvgMissLat,L1d_WriteReqHits,L1d_WriteReqMisses,L1d_WriteReqMissRate,L1d_WriteReqAvgMissLat,L2_TotHits,L2_TotMisses,L2_TotMissRate,L2_TotAvgMissLat
1024,64,rvv,random,euclidean,256,1000,100,100,0.169534,169533943453,363762839,363781258,94433,94438,0.559491,1.787338,86119670,2688,0.000031,56428.312500,127077552,20319261,0.137854,28606.692957,97169374,19128294,0.164477,29032.562858,29899721,1190862,0.038303,21766.043344,15218829,56246,0.003682,82785.756783
1024,64,rvv,random,euclidean,64,1000,100,100,0.137535,137534545001,276357986,276364185,82318,82320,0.597441,1.673806,78710087,3214,0.000041,48233.654636,95664284,7286821,0.070779,18350.246853,67676567,6402433,0.086427,17841.778571,27985690,884225,0.030628,22027.556160,6332721,33585,0.005275,80160.278785
1024,64,rvv,random,euclidean,8,1000,100,100,0.114090,114090044887,231982840,231987453,87238,87240,0.590401,1.693765,68402007,2696,0.000039,55262.567136,77283781,3351475,0.041563,16978.299042,53099134,2573250,0.046221,15030.629016,24184643,778035,0.031168,23417.622559,1448114,32819,0.022161,80765.369908
1024,64,rv,random,euclidean,3072,1000,100,100,1.156550,1156549731652,1485401541,1485573726,108308,108320,0.934707,1.069854,110046912,5830,0.000053,50006.004460,360534723,307139443,0.460014,75190.968035,330933450,303447438,0.478336,75734.332967,29499321,3691939,0.111232,30531.601212,105816310,107734172,0.504490,106946.636022
1024,64,rvv,random,euclidean,128,1000,100,100,0.149560,149559907931,309550878,309561105,81550,81552,0.580014,1.724098,81809066,2643,0.000032,56656.606886,107630797,11660437,0.097748,21842.820321,78444688,10689649,0.119927,21855.719081,29182049,970534,0.032187,21695.146608,9341658,40631,0.004331,77577.181069
1024,64,rv,random,euclidean,8,1000,100,100,0.111432,111431903569,226388565,226393178,86203,86205,0.590895,1.692349,74609888,2616,0.000035,56758.951453,78098902,3471297,0.042556,16847.548826,53900506,2706921,0.047819,14867.654492,24198392,764186,0.030613,23857.994122,1491753,32960,0.021617,81211.355309
128,64,rv,random,euclidean,4096,1000,100,100,3.000919,3000918881275,13239294468,13241091465,342330,342377,0.272110,3.674985,108712504,7163,0.000066,46868.606031,2169680314,202584896,0.085397,30326.877703,2141236292,196355107,0.083999,30450.573211,28444022,6229789,0.179668,26428.150999,254894158,139210119,0.353232,27157.811359
128,64,rvv,random,euclidean,3072,1000,100,100,1.795383,1795383156028,9212998787,9214347828,332059,332108,0.233944,4.274535,89893223,2794,0.000031,59040.142090,1641240030,151599574,0.084558,36139.972407,1610744061,148171576,0.084240,36249.313941,30495969,3427998,0.101049,31413.800606,110918825,100100820,0.474367,40827.765231
128,64,rv,random,euclidean,2048,1000,100,100,1.563247,1563247036799,6777585443,6778486432,306580,306621,0.276890,3.611540,98827407,4222,0.000043,51755.304121,1191954495,48975292,0.039467,48931.466672,1161515028,46028204,0.038117,50199.052403,30439467,2947088,0.088272,29134.061712,80073882,60436534,0.430121,29156.175284
128,64,rv,random,euclidean,64,1000,100,100,0.162995,162994856801,422692399,422725454,103662,103670,0.462918,2.160208,83228339,2645,0.000032,54923.201512,110335632,10511097,0.086979,13944.846062,82359045,9602231,0.104416,13199.599375,27976587,908866,0.031464,21818.427910,7000234,34169,0.004857,79818.645556
128,64,rv,random,euclidean,1024,1000,100,100,0.824812,824812499644,3486220644,3486673589,259183,259217,0.284024,3.520827,94993976,4216,0.000044,51866.895161,632103554,31916579,0.048066,32991.507675,601673201,29868064,0.047294,33466.889229,30430353,2048515,0.063072,26060.278627,48668382,18008289,0.270084,32947.997867
128,64,rv,random,euclidean,128,1000,100,100,0.201018,201018050604,629562678,629623761,129440,129452,0.383311,2.608849,87075523,2588,0.000030,56598.294436,148648309,11457413,0.071562,13938.465494,119455470,10466658,0.080561,13217.172362,29192839,990755,0.032824,21558.440697,10024787,41790,0.004151,77369.243240
128,64,rvv,random,euclidean,2048,1000,100,100,1.251969,1251968710454,6286380831,6287281820,302448,302492,0.239082,4.182657,88878213,3892,0.000044,52354.863309,1140669969,99144060,0.079967,35603.911748,1110055136,96371516,0.079882,35760.868112,30614833,2772544,0.083042,30148.228193,79413892,60543186,0.432584,41711.501160
