workload_type,dimension,topk,M,ef,avg_index_time(ms),avg_search_time(ms)
sse,384,100,64,400,248885.290,5860.379
sse,384,100,64,512,325466.833,6323.872
sse,384,100,128,100,66368.066,3798.354
sse,384,100,128,128,65400.710,3729.300
sse,384,100,128,200,113319.987,4550.560
sse,384,100,128,256,151637.288,5016.729
sse,384,100,128,300,184682.237,5408.877
sse,384,100,128,400,253358.015,5908.357
sse,384,100,128,512,341127.825,6669.021
sse42,384,100,8,100,30115.817,1933.511
sse42,384,100,8,128,37428.697,1987.361
sse42,384,100,8,200,54047.934,2011.640
sse42,384,100,8,256,66344.124,1979.671
sse42,384,100,8,300,76713.787,2027.573
sse42,384,100,8,400,97467.051,2030.847
sse42,384,100,8,512,120035.815,2021.414
sse42,384,100,16,100,42165.042,2774.278
sse42,384,100,16,128,54377.668,2923.381
sse42,384,100,16,200,85170.793,3217.987
sse42,384,100,16,256,110203.453,3418.335
sse42,384,100,16,300,123723.338,3389.429
sse42,384,100,16,400,162520.045,3577.037
sse42,384,100,16,512,199978.296,3606.096
sse42,384,100,32,100,47569.875,3284.944
sse42,384,100,32,128,63486.429,3593.173
sse42,384,100,32,200,104037.675,4090.033
sse42,384,100,32,256,140503.264,4594.485
sse42,384,100,32,300,169307.830,4897.569
sse42,384,100,32,400,224561.057,5106.468
sse42,384,100,32,512,291204.067,5514.748
sse42,384,100,64,100,48069.674,3420.059
sse42,384,100,64,128,65399.671,3814.203
sse42,384,100,64,200,110994.957,4503.525
sse42,384,100,64,256,152018.674,5111.456
sse42,384,100,64,300,181768.694,5378.819
sse42,384,100,64,400,253394.313,5942.660
sse42,384,100,64,512,328327.725,6482.922
sse42,384,100,128,100,66863.418,3818.617
sse42,384,100,128,128,67501.102,3871.008
sse42,384,100,128,200,117282.735,4771.106
sse42,384,100,128,256,157770.433,5173.000
sse42,384,100,128,300,189549.862,5550.250
sse42,384,100,128,400,262036.707,6157.521
sse42,384,100,128,512,342326.185,6662.646
