workload_type,dimension,topk,avg_index_time(ms),avg_search_time(ms)
avx,8,100,92.877,4.315
avx,16,100,97.965,5.279
avx,32,100,104.991,6.047
avx,64,100,111.691,6.723
avx,128,100,125.965,7.847
avx,256,100,138.360,6.378
avx,512,100,174.700,9.962
avx,1024,100,262.026,15.414
avx,2048,100,404.222,26.662
avx,3072,100,546.250,38.378
avx,4096,100,700.217,51.821
