workload_type,dimension,topk,avg_index_time(ms),avg_search_time(ms)
base,8,100,81.791,2.947
base,16,100,84.261,4.367
base,32,100,88.381,5.034
base,64,100,115.871,7.049
base,128,100,122.110,5.429
base,256,100,152.721,7.574
base,512,100,220.457,12.439
base,1024,100,336.422,22.006
base,2048,100,566.650,39.841
base,3072,100,800.315,58.192
base,4096,100,1048.054,79.120
