workload_type,dimension,topk,avg_index_time(ms),avg_search_time(ms)
sse,8,100,92.669,4.218
sse,16,100,94.757,5.112
sse,32,100,100.768,5.043
sse,64,100,116.696,7.039
sse,128,100,126.741,4.841
sse,256,100,168.160,7.799
sse,512,100,224.702,12.456
sse,1024,100,356.173,21.977
sse,2048,100,595.672,39.995
sse,3072,100,821.963,58.434
sse,4096,100,1103.854,79.743
