vlen,L1d_TotAvgMissLat,label
128,44293.074927,RVV
256,27995.738477,RVV
512,46316.021244,RVV
1024,76255.252827,RVV
128,54515.904719,RV
256,28633.412484,RV
512,45122.485695,RV
1024,76100.462769,RV
