vlen,L1d_TotAvgMissLat,label
128,26214.340217,RVV
256,21159.1585,RVV
512,29234.028825,RVV
1024,42240.440865,RVV
128,25169.60222,RV
256,20476.427185,RV
512,28106.012153,RV
1024,41630.946326,RV
