vlen,L1d_TotAvgMissLat,label
128,26514.455007,RVV
256,23719.969146,RVV
512,30546.502004,RVV
1024,39279.101146,RVV
128,25261.798419,RV
256,22823.51271,RV
512,29045.232442,RV
1024,37958.394593,RV
