vlen,L1d_TotAvgMissLat,label
128,38540.830986,RVV
256,26304.104591,RVV
512,40104.274834,RVV
1024,63075.35581,RVV
128,40214.268541,RV
256,26864.382191,RV
512,38777.758925,RV
1024,62617.368544,RV
