workload_type,M,ef,Recall,QPS,plot_label
X86-AVX512,32,400,98.067,2178.1060221765583,X86-AVX512
X86-AVX512,32,512,98.139,2014.7703877531653,X86-AVX512
X86-AVX512,64,100,96.391,3099.2856146658196,X86-AVX512
X86-AVX512,64,128,97.059,2788.2428603556255,X86-AVX512
X86-AVX512,64,200,97.879,2324.7597620791917,X86-AVX512
X86-AVX512,64,256,98.179,2147.0594467084306,X86-AVX512
X86-AVX512,64,300,98.319,2061.2701709525263,X86-AVX512
X86-AVX512,64,400,98.546,1842.43719531604,X86-AVX512
X86-AVX512,64,512,98.69,1731.277881262129,X86-AVX512
X86-AVX512,128,100,97.076,2834.0834331788383,X86-AVX512
X86-AVX512,128,128,97.076,2794.7505758657107,X86-AVX512
X86-AVX512,128,200,97.896,2349.3473296730917,X86-AVX512
X86-AVX512,128,256,98.214,2165.8758844824397,X86-AVX512
X86-AVX512,128,300,98.366,1986.0464557171745,X86-AVX512
X86-AVX512,128,400,98.599,1801.6612739309808,X86-AVX512
X86-AVX512,128,512,98.751,1628.7573395877614,X86-AVX512
X86-BASE,8,100,91.539,3986.063463375157,X86-BASE
X86-BASE,8,128,91.949,3871.723681194121,X86-BASE
X86-BASE,8,200,92.321,3829.1108149708157,X86-BASE
X86-BASE,8,256,92.449,3797.858008083441,X86-BASE
X86-BASE,8,300,92.48,3811.168629669246,X86-BASE
X86-BASE,8,400,92.54,3729.695244638563,X86-BASE
X86-BASE,8,512,92.541,3732.6627637420925,X86-BASE
X86-BASE,16,100,95.234,2879.3615697673094,X86-BASE
X86-BASE,16,128,95.712,2551.6122328319307,X86-BASE
X86-BASE,16,200,96.171,2347.610719190544,X86-BASE
X86-BASE,16,256,96.329,2288.4087579812017,X86-BASE
X86-BASE,16,300,96.39,2226.310300786239,X86-BASE
X86-BASE,16,400,96.442,2164.8301690732364,X86-BASE
X86-BASE,16,512,96.469,2048.0609847885657,X86-BASE
X86-BASE,32,100,96.156,2362.3165746658333,X86-BASE
X86-BASE,32,128,96.849,2184.6852414738346,X86-BASE
X86-BASE,32,200,97.557,1869.0839496596666,X86-BASE
X86-BASE,32,256,97.816,1700.9299610755604,X86-BASE
X86-BASE,32,300,97.92,1636.2323854739595,X86-BASE
X86-BASE,32,400,98.067,1495.1988378370295,X86-BASE
X86-BASE,32,512,98.139,1403.34679746105,X86-BASE
X86-BASE,64,100,96.391,2254.3399752319224,X86-BASE
X86-BASE,64,128,97.059,2025.6748962374688,X86-BASE
X86-BASE,64,200,97.879,1697.7196720809775,X86-BASE
X86-BASE,64,256,98.179,1543.9908384459407,X86-BASE
X86-BASE,64,300,98.319,1441.12765963902,X86-BASE
X86-BASE,64,400,98.546,1315.2457052035966,X86-BASE
X86-BASE,64,512,98.69,1204.9442031561293,X86-BASE
X86-BASE,128,100,97.076,2020.4496085245958,X86-BASE
X86-BASE,128,128,97.076,2003.5119455445454,X86-BASE
X86-BASE,128,200,97.896,1636.5501952555119,X86-BASE
X86-BASE,128,256,98.214,1508.6929498182917,X86-BASE
X86-BASE,128,300,98.366,1416.0254959116921,X86-BASE
X86-BASE,128,400,98.599,1269.8092328831804,X86-BASE
X86-BASE,128,512,98.751,1157.7729141159482,X86-BASE
X86-SSE42,8,100,91.539,3930.673267439389,X86-SSE42
X86-SSE42,8,128,91.949,3824.166822233102,X86-SSE42
X86-SSE42,8,200,92.321,3778.011970332663,X86-SSE42
X86-SSE42,8,256,92.449,3839.021736440045,X86-SSE42
X86-SSE42,8,300,92.48,3748.323734829769,X86-SSE42
X86-SSE42,8,400,92.54,3742.280930074988,X86-SSE42
X86-SSE42,8,512,92.541,3759.74441653219,X86-SSE42
X86-SSE42,16,100,95.234,2739.451489720929,X86-SSE42
X86-SSE42,16,128,95.712,2599.729559711854,X86-SSE42
X86-SSE42,16,200,96.171,2361.7248919899303,X86-SSE42
X86-SSE42,16,256,96.329,2223.3046205243195,X86-SSE42
X86-SSE42,16,300,96.39,2242.2655851472327,X86-SSE42
X86-SSE42,16,400,96.442,2124.6635134050894,X86-SSE42
X86-SSE42,16,512,96.469,2107.5423394163663,X86-SSE42
X86-SSE42,32,100,96.156,2313.5858632597697,X86-SSE42
X86-SSE42,32,128,96.849,2115.122205359998,X86-SSE42
X86-SSE42,32,200,97.557,1858.1757164306498,X86-SSE42
X86-SSE42,32,256,97.816,1654.1571035709117,X86-SSE42
X86-SSE42,32,300,97.92,1551.7902861603377,X86-SSE42
X86-SSE42,32,400,98.067,1488.308552995926,X86-SSE42
X86-SSE42,32,512,98.139,1378.1228081500733,X86-SSE42
X86-SSE42,64,100,96.391,2222.1838863013763,X86-SSE42
X86-SSE42,64,128,97.059,1992.5525725820046,X86-SSE42
X86-SSE42,64,200,97.879,1687.5669614357644,X86-SSE42
X86-SSE42,64,256,98.179,1486.8561912691803,X86-SSE42
X86-SSE42,64,300,98.319,1412.949571272058,X86-SSE42
X86-SSE42,64,400,98.546,1278.888578515345,X86-SSE42
X86-SSE42,64,512,98.69,1172.3108808034403,X86-SSE42
X86-SSE42,128,100,97.076,1990.2493494372438,X86-SSE42
X86-SSE42,128,128,97.076,1963.3129148790188,X86-SSE42
X86-SSE42,128,200,97.896,1592.9220604195339,X86-SSE42
X86-SSE42,128,256,98.214,1469.1668277595206,X86-SSE42
X86-SSE42,128,300,98.366,1369.307688842845,X86-SSE42
X86-SSE42,128,400,98.599,1234.2629444544323,X86-SSE42
X86-SSE42,128,512,98.751,1140.687948901983,X86-SSE42
RISCV-BASE,8,100,91.539,183.23112612716977,RISCV-BASE
RISCV-BASE,8,128,91.949,180.3930679501285,RISCV-BASE
RISCV-BASE,8,200,92.321,175.55985518067547,RISCV-BASE
RISCV-BASE,8,256,92.449,174.67260951915156,RISCV-BASE
RISCV-BASE,8,300,92.48,173.32555709741817,RISCV-BASE
RISCV-BASE,8,400,92.54,173.10549249150372,RISCV-BASE
RISCV-BASE,8,512,92.541,172.64666635302524,RISCV-BASE
RISCV-BASE,16,100,95.234,126.1452348264088,RISCV-BASE
RISCV-BASE,16,128,95.712,117.43036707573896,RISCV-BASE
RISCV-BASE,16,200,96.171,106.74582937373023,RISCV-BASE
RISCV-BASE,16,256,96.329,102.46109252348553,RISCV-BASE
RISCV-BASE,16,300,96.39,100.05922584571934,RISCV-BASE
RISCV-BASE,16,400,96.442,97.37041333625156,RISCV-BASE
RISCV-BASE,16,512,96.469,94.99289096952208,RISCV-BASE
RISCV-BASE,32,100,96.156,105.78415511475855,RISCV-BASE
RISCV-BASE,32,128,96.849,95.9486212303065,RISCV-BASE
RISCV-BASE,32,200,97.557,81.34964280923907,RISCV-BASE
RISCV-BASE,32,256,97.816,74.7849406509663,RISCV-BASE
RISCV-BASE,32,300,97.92,71.2511079547287,RISCV-BASE
RISCV-BASE,32,400,98.067,65.89100469528896,RISCV-BASE
RISCV-BASE,32,512,98.139,61.765322316523694,RISCV-BASE
RISCV-BASE,64,100,96.391,98.0765991660495,RISCV-BASE
RISCV-BASE,64,128,97.059,87.67987165143504,RISCV-BASE
RISCV-BASE,64,200,97.879,72.67887763615852,RISCV-BASE
RISCV-BASE,64,256,98.179,66.07830658411028,RISCV-BASE
RISCV-BASE,64,300,98.319,62.38840581746929,RISCV-BASE
RISCV-BASE,64,400,98.546,56.383499852479254,RISCV-BASE
RISCV-BASE,64,512,98.69,52.23678353874887,RISCV-BASE
RISCV-BASE,128,100,97.076,87.76884347410702,RISCV-BASE
RISCV-BASE,128,128,97.076,87.70714639213652,RISCV-BASE
RISCV-BASE,128,200,97.896,72.15559670850853,RISCV-BASE
RISCV-BASE,128,256,98.214,65.23460066222906,RISCV-BASE
RISCV-BASE,128,300,98.366,61.40025081679299,RISCV-BASE
RISCV-BASE,128,400,98.599,55.06028387474026,RISCV-BASE
RISCV-BASE,128,512,98.751,50.6363304410994,RISCV-BASE
RISCV-ALIGN,8,100,91.539,320.65447072254716,RISCV-ALIGN
RISCV-ALIGN,8,128,91.949,315.6878689127249,RISCV-ALIGN
RISCV-ALIGN,8,200,92.321,307.22974656618214,RISCV-ALIGN
RISCV-ALIGN,8,256,92.449,305.6770666585153,RISCV-ALIGN
RISCV-ALIGN,8,300,92.48,303.3197249204818,RISCV-ALIGN
RISCV-ALIGN,8,400,92.54,302.93461186013155,RISCV-ALIGN
RISCV-ALIGN,8,512,92.541,302.1316661177942,RISCV-ALIGN
RISCV-ALIGN,16,100,95.234,220.75416094621542,RISCV-ALIGN
RISCV-ALIGN,16,128,95.712,205.5031423825432,RISCV-ALIGN
RISCV-ALIGN,16,200,96.171,186.8052014040279,RISCV-ALIGN
RISCV-ALIGN,16,256,96.329,179.3069119160997,RISCV-ALIGN
RISCV-ALIGN,16,300,96.39,175.10364523000885,RISCV-ALIGN
RISCV-ALIGN,16,400,96.442,170.39822333844026,RISCV-ALIGN
RISCV-ALIGN,16,512,96.469,166.23755919666365,RISCV-ALIGN
RISCV-ALIGN,32,100,96.156,185.12227145082747,RISCV-ALIGN
RISCV-ALIGN,32,128,96.849,167.9100871530364,RISCV-ALIGN
RISCV-ALIGN,32,200,97.557,142.3618749161684,RISCV-ALIGN
RISCV-ALIGN,32,256,97.816,130.87364613919104,RISCV-ALIGN
RISCV-ALIGN,32,300,97.92,124.68943892077522,RISCV-ALIGN
RISCV-ALIGN,32,400,98.067,115.3092582167557,RISCV-ALIGN
RISCV-ALIGN,32,512,98.139,108.08931405391647,RISCV-ALIGN
RISCV-ALIGN,64,100,96.391,171.63404854058666,RISCV-ALIGN
RISCV-ALIGN,64,128,97.059,153.43977539001133,RISCV-ALIGN
RISCV-ALIGN,64,200,97.879,127.1880358632774,RISCV-ALIGN
RISCV-ALIGN,64,256,98.179,115.63703652219301,RISCV-ALIGN
RISCV-ALIGN,64,300,98.319,109.17971018057126,RISCV-ALIGN
RISCV-ALIGN,64,400,98.546,98.6711247418387,RISCV-ALIGN
RISCV-ALIGN,64,512,98.69,91.41437119281052,RISCV-ALIGN
RISCV-ALIGN,128,100,97.076,153.5954760796873,RISCV-ALIGN
RISCV-ALIGN,128,128,97.076,153.48750618623893,RISCV-ALIGN
RISCV-ALIGN,128,200,97.896,126.27229423988993,RISCV-ALIGN
RISCV-ALIGN,128,256,98.214,114.16055115890087,RISCV-ALIGN
RISCV-ALIGN,128,300,98.366,107.45043892938774,RISCV-ALIGN
RISCV-ALIGN,128,400,98.599,96.35549678079546,RISCV-ALIGN
RISCV-ALIGN,128,512,98.751,88.61357827192397,RISCV-ALIGN
