dimension,SimSecond,label
256,0.203898,RVV
512,0.258316,RVV
1024,0.454515,RVV
2048,0.857106,RVV
3072,1.23439,RVV
4096,1.724877,RVV
256,0.194858,RV
512,0.253449,RV
1024,0.446723,RV
2048,0.848466,RV
3072,1.229503,RV
4096,1.725884,RV
