dimension,SimSecond,label
256,0.273892,RVV
512,0.391625,RVV
1024,0.702651,RVV
2048,1.307237,RVV
3072,1.879889,RVV
4096,2.604036,RVV
256,0.295114,RV
512,0.471236,RV
1024,0.8512,RV
2048,1.591787,RV
3072,2.295064,RV
4096,3.091316,RV
